Name		C/H	NC	NCPR
104	0.1912	0.19304	14	0.02288
104	0.3824	0.38925	14	0.02288
104	0.5736	0.58822	13	0.02124
52	0.0239	0.02441	 9	0.01471
52	0.0478	0.04765	14	0.02288
52	0.1912	0.18979	15	0.02451
52	0.3824	0.38483	15	0.02451
52	0.5736	0.58779	13	0.02124
26	0.0478	0.04767	14	0.02288
13	0.0239	0.02442	 9	0.01471
13	0.0478	0.04770	14	0.02288
13	0.0956	0.09557	13	0.02124
13	0.1912	0.18966	15	0.02451
13	0.3824	0.38931	13	0.02124
13	0.5736	0.58843	13	0.02124
7	0.0478	0.04529	12	0.01961
7	0.1912	0.19337	13	0.02124
7	0.3824	0.38540	12	0.01961
7	0.5736	0.58436	12	0.01961
104	0.0239	0.02442	 7	0.01144
104	0.0478	0.04759	14	0.02288
