Name		C/H	NC	NCPR
Nup116-LC   	0.04233	12	0.02024
Nup116-HC   	0.82541	-1	-0.00510
Nup100-LC   	0.04210	12	0.01967
Nup100-HC   	0.55772	 0	0.00000
Nsp1-LC   	0.04077	 4	0.02151
Nsp1-HC   	0.74823	 4	0.00928
Nup145N-LC   	0.05998	 6	0.02479
Nup145N-HC   	0.48947	 2	0.01047
Nup1-HC   	0.57354	12	0.02076
Nup1-LC   	0.07215	 7	0.02509
Nup2-HC   	0.60005	-8	-0.01814
Nup57-LC   	0.05020	 7	0.02745
Nup42-LC   	0.07125	11	0.02880
Nup49-LC   	0.05096	 7	0.02789
Nup60-HC   	0.53864	-3	-0.01987
Nup159-HC   	0.51096	-38	-0.05547
